,상품명,주종,도수,용량,원재료,가격수정,ml당_가격,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
72,나루 생막걸리 6%,탁주,6.0,935,쌀,7000,7.49,,2.0,,,3.0,2.0,3.0,
73,남산애 레드와인,과실주,14.0,750,포도,45000,60.0,,2.0,,,3.0,3.0,3.0,
74,남산애 포트와인,과실주,18.5,750,포도,55000,73.33,,3.0,,,3.0,2.0,3.0,
75,내장산 복분자주 지통1호,과실주,16.0,700,"복분자,주정,정제수,설탕등",18000,25.71,,2.0,,,3.0,,1.0,
76,녹고의눈물,기타주류,16.0,500,섬오가피,23000,46.0,2.0,3.0,2.0,,,,,
77,녹파주,약주,15.0,375,"국내산찹쌀,멥쌀,누룩,정제수",35000,93.33,,3.0,,,2.0,2.0,3.0,
78,뉴트로,탁주,8.0,600,찹쌀,6000,10.0,,3.0,,,4.0,4.0,4.0,
79,느낌 19.8,증류식소주,19.8,360,백미,4000,11.11,,2.0,2.0,2.0,,,,
80,느낌 30,증류식소주,30.0,360,백미,6500,18.06,,3.0,3.0,3.0,,,,
81,느린마을 막걸리,탁주,6.0,750,"쌀,국,효모,정제수",2300,3.07,,,,,1.0,3.0,3.0,
82,능이주,살균약주,13.0,375,"국내산쌀,능이농충액,누룩,정제수",12000,32.0,,2.0,,,3.0,1.0,1.0,
83,니모메,약주,11.0,375,쌀,36000,96.0,,2.0,,,1.0,1.0,2.0,
84,다래와인 3004,과실주,8.0,375,참다래,10000,26.67,,,,,2.0,1.0,2.0,
85,다래와인 7004D,과실주,12.0,750,참다래,28000,37.33,,,,,4.0,2.0,1.0,
86,다래와인 7004S,과실주,8.0,750,참다래,18000,24.0,,,,,2.0,1.0,2.0,
87,다랭이팜 생 막걸리 (백미),탁주,6.0,750,"쌀,7분도유기농현미,누룩,효모등",4000,5.33,,,,,4.0,4.0,1.0,
88,다랭이팜 생 막걸리 (흑미),탁주,6.0,750,"남해산유기농현미,누룩,효모등",4000,5.33,,,,,5.0,2.0,1.0,
