,상품명,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
438,청명주 750,,4.0,,,4.0,2.0,4.0,
439,청산녹수 꿀막걸리,,4.0,,,2.0,3.0,1.0,
440,청산녹수 사미인주,,3.0,,,2.0,4.0,2.0,
441,청산녹수 생탁주,,3.0,,,3.0,3.0,1.0,
442,청세주,,,,,1.0,1.0,3.0,
443,청송 얼음골 동동주,,2.0,,,3.0,4.0,2.0,
444,청송 주왕 사과막걸리,,2.0,,,3.0,4.0,2.0,
445,청양 둔송 구기주,,,,,1.0,1.0,3.0,
446,청진주,,1.0,,,2.0,1.0,2.0,
447,청춘,,,,,2.0,1.0,2.0,
448,초선의 꿈 (로제),,2.0,,,3.0,,1.0,
449,추사 로제,,1.0,,,3.0,2.0,2.0,
450,추사 애플와인,,,,,1.0,2.0,3.0,
451,추사블루,,,,,1.0,2.0,3.0,
452,추성주,,,,,1.0,3.0,2.0,
453,추시와인,,3.0,,,2.0,2.0,3.0,
454,컨츄리 산머루 와인 (드라이),,3.0,,,3.0,,1.0,
455,컨츄리 산머루 와인 (스위트),,2.0,,,3.0,,2.0,
456,컨츄리캠벨 (스위트),,3.0,,,1.0,,3.0,
457,"코이버펑크, 머스캣 베일리 에이",,4.0,,,3.0,3.0,3.0,
458,"코이버펑크, 샤르도네 세미용 블렌드",,3.0,,,4.0,4.0,2.0,
459,쿨샷7.5,,2.0,,,1.0,2.0,3.0,
460,크라테 레드와인 드라이,,3.0,,,2.0,3.0,2.0,
461,크라테 레드와인 스위트,,1.0,,,2.0,3.0,4.0,
462,크라테 로제와인,,3.0,,,1.0,3.0,4.0,
463,타미앙스,,,,,1.0,2.0,1.0,
464,톡 쏘는 복분자 막걸리,,,,,1.0,3.0,5.0,
